name,class,category,input_shape,output_shape,direct_params,direct_trainable_params,approx_macs,details
backbone.stages.2.op_list.3.local_module.main.point_conv.conv,Conv2d,Pointwise Conv2d,"[[1, 512, 14, 14]]","[1, 128, 14, 14]",65536,65536,12845056,"in=512, out=128, k=(1, 1), stride=(1, 1), groups=1, bias=False"
backbone.stages.2.op_list.3.local_module.main.point_conv.norm,BatchNorm2d,Normalization,"[[1, 128, 14, 14]]","[1, 128, 14, 14]",256,256,,
backbone.stages.2.op_list.3.local_module.main,MBConv,MBConv block,"[[1, 128, 14, 14]]","[1, 128, 14, 14]",0,0,,
backbone.stages.2.op_list.3.local_module.shortcut,IdentityLayer,IdentityLayer,"[[1, 128, 14, 14]]","[1, 128, 14, 14]",0,0,,
backbone.stages.2.op_list.3.local_module,ResidualBlock,Residual block,"[[1, 128, 14, 14]]","[1, 128, 14, 14]",0,0,,
backbone.stages.3.op_list.0.main.inverted_conv.conv,Conv2d,Pointwise Conv2d,"[[1, 128, 14, 14]]","[1, 512, 14, 14]",66048,66048,12845056,"in=128, out=512, k=(1, 1), stride=(1, 1), groups=1, bias=True"
backbone.stages.3.op_list.0.main.inverted_conv.act,Hardswish,Activation,"[[1, 512, 14, 14]]","[1, 512, 14, 14]",0,0,,
backbone.stages.3.op_list.0.main.depth_conv.conv,Conv2d,Depthwise Conv2d,"[[1, 512, 14, 14]]","[1, 512, 7, 7]",5120,5120,225792,"in=512, out=512, k=(3, 3), stride=(2, 2), groups=512, bias=True"
backbone.stages.3.op_list.0.main.depth_conv.act,Hardswish,Activation,"[[1, 512, 7, 7]]","[1, 512, 7, 7]",0,0,,
backbone.stages.3.op_list.0.main.point_conv.conv,Conv2d,Pointwise Conv2d,"[[1, 512, 7, 7]]","[1, 256, 7, 7]",131072,131072,6422528,"in=512, out=256, k=(1, 1), stride=(1, 1), groups=1, bias=False"
backbone.stages.3.op_list.0.main.point_conv.norm,BatchNorm2d,Normalization,"[[1, 256, 7, 7]]","[1, 256, 7, 7]",512,512,,
backbone.stages.3.op_list.0.main,MBConv,MBConv block,"[[1, 128, 14, 14]]","[1, 256, 7, 7]",0,0,,
backbone.stages.3.op_list.0,ResidualBlock,Residual block,"[[1, 128, 14, 14]]","[1, 256, 7, 7]",0,0,,
backbone.stages.3.op_list.1.context_module.main.qkv.conv,Conv2d,Pointwise Conv2d,"[[1, 256, 7, 7]]","[1, 768, 7, 7]",196608,196608,9633792,"in=256, out=768, k=(1, 1), stride=(1, 1), groups=1, bias=False"
backbone.stages.3.op_list.1.context_module.main.aggreg.0.0,Conv2d,Depthwise Conv2d,"[[1, 768, 7, 7]]","[1, 768, 7, 7]",19200,19200,940800,"in=768, out=768, k=(5, 5), stride=(1, 1), groups=768, bias=False"
backbone.stages.3.op_list.1.context_module.main.aggreg.0.1,Conv2d,Pointwise Conv2d,"[[1, 768, 7, 7]]","[1, 768, 7, 7]",12288,12288,602112,"in=768, out=768, k=(1, 1), stride=(1, 1), groups=48, bias=False"
backbone.stages.3.op_list.1.context_module.main.kernel_func,ReLU,Activation,"[[1, 32, 16, 49]]","[1, 32, 16, 49]",0,0,,
backbone.stages.3.op_list.1.context_module.main.kernel_func,ReLU,Activation,"[[1, 32, 16, 49]]","[1, 32, 16, 49]",0,0,,
backbone.stages.3.op_list.1.context_module.main.proj.conv,Conv2d,Pointwise Conv2d,"[[1, 512, 7, 7]]","[1, 256, 7, 7]",131072,131072,6422528,"in=512, out=256, k=(1, 1), stride=(1, 1), groups=1, bias=False"
backbone.stages.3.op_list.1.context_module.main.proj.norm,BatchNorm2d,Normalization,"[[1, 256, 7, 7]]","[1, 256, 7, 7]",512,512,,
backbone.stages.3.op_list.1.context_module.shortcut,IdentityLayer,IdentityLayer,"[[1, 256, 7, 7]]","[1, 256, 7, 7]",0,0,,
backbone.stages.3.op_list.1.context_module,ResidualBlock,Residual block,"[[1, 256, 7, 7]]","[1, 256, 7, 7]",0,0,,
backbone.stages.3.op_list.1.local_module.main.inverted_conv.conv,Conv2d,Pointwise Conv2d,"[[1, 256, 7, 7]]","[1, 1024, 7, 7]",263168,263168,12845056,"in=256, out=1024, k=(1, 1), stride=(1, 1), groups=1, bias=True"
backbone.stages.3.op_list.1.local_module.main.inverted_conv.act,Hardswish,Activation,"[[1, 1024, 7, 7]]","[1, 1024, 7, 7]",0,0,,
backbone.stages.3.op_list.1.local_module.main.depth_conv.conv,Conv2d,Depthwise Conv2d,"[[1, 1024, 7, 7]]","[1, 1024, 7, 7]",10240,10240,451584,"in=1024, out=1024, k=(3, 3), stride=(1, 1), groups=1024, bias=True"
backbone.stages.3.op_list.1.local_module.main.depth_conv.act,Hardswish,Activation,"[[1, 1024, 7, 7]]","[1, 1024, 7, 7]",0,0,,
backbone.stages.3.op_list.1.local_module.main.point_conv.conv,Conv2d,Pointwise Conv2d,"[[1, 1024, 7, 7]]","[1, 256, 7, 7]",262144,262144,12845056,"in=1024, out=256, k=(1, 1), stride=(1, 1), groups=1, bias=False"
backbone.stages.3.op_list.1.local_module.main.point_conv.norm,BatchNorm2d,Normalization,"[[1, 256, 7, 7]]","[1, 256, 7, 7]",512,512,,
backbone.stages.3.op_list.1.local_module.main,MBConv,MBConv block,"[[1, 256, 7, 7]]","[1, 256, 7, 7]",0,0,,
backbone.stages.3.op_list.1.local_module.shortcut,IdentityLayer,IdentityLayer,"[[1, 256, 7, 7]]","[1, 256, 7, 7]",0,0,,
backbone.stages.3.op_list.1.local_module,ResidualBlock,Residual block,"[[1, 256, 7, 7]]","[1, 256, 7, 7]",0,0,,
backbone.stages.3.op_list.2.context_module.main.qkv.conv,Conv2d,Pointwise Conv2d,"[[1, 256, 7, 7]]","[1, 768, 7, 7]",196608,196608,9633792,"in=256, out=768, k=(1, 1), stride=(1, 1), groups=1, bias=False"
backbone.stages.3.op_list.2.context_module.main.aggreg.0.0,Conv2d,Depthwise Conv2d,"[[1, 768, 7, 7]]","[1, 768, 7, 7]",19200,19200,940800,"in=768, out=768, k=(5, 5), stride=(1, 1), groups=768, bias=False"
backbone.stages.3.op_list.2.context_module.main.aggreg.0.1,Conv2d,Pointwise Conv2d,"[[1, 768, 7, 7]]","[1, 768, 7, 7]",12288,12288,602112,"in=768, out=768, k=(1, 1), stride=(1, 1), groups=48, bias=False"
backbone.stages.3.op_list.2.context_module.main.kernel_func,ReLU,Activation,"[[1, 32, 16, 49]]","[1, 32, 16, 49]",0,0,,
